VRSN,20180208,1.02,0.9003,2018,2,8
VRTX,20180131,0.607,0.3957,2018,1,31
VTR,20180209,0.553,0.9954,2018,2,9
VZ,20180123,0.984,0.86,2018,1,23
WAT,20180123,1.581,2.51,2018,1,23
WDC,20180125,3.074,2.6907,2018,1,25
WEC,20180131,0.91,0.71,2018,1,31
WFC,20180112,1.095,0.8555,2018,1,12
WHR,20180124,3.208,4.1,2018,1,24
WLTW,20180208,4.013,2.21,2018,2,8
WM,20180215,0.896,0.85,2018,2,15
WMB,20180214,0.196,0.2,2018,2,14
WMT,20180220,1.067,1,2018,2,20
WRK,20180129,0.903,0.87,2018,1,29
WU,20180213,0.418,0.41,2018,2,13
WY,20180202,0.312,0.31,2018,2,2
WYN,20180214,1.28,1.47,2018,2,14
WYNN,20180122,1.515,1.4,2018,1,22
XEC,20180214,1.4,1.47,2018,2,14
XEL,20180207,0.508,0.42,2018,2,7
XL,20180201,0.989,0.45,2018,2,1
XLNX,20180124,0.818,0.7553,2018,1,24
XOM,20180202,1.029,0.88,2018,2,2
XRAY,20180301,0.608,0.82,2018,3,1
XYL,20180201,0.47,0.76,2018,2,1
YUM,20180208,0.664,0.96,2018,2,8
ZBH,20180130,2.026,2.1,2018,1,30
ZION,20180122,0.731,0.8112,2018,1,22
ZTS,20180215,0.624,0.69,2018,2,15
